"rep","excess_a","excess_c","closer_a","closer_c"
1,-0.0206695859505361,-0.0147664364095229,0.5,0.75
2,0.0609505908171702,-0.00114403836325951,0.5,0.5
3,0.0233804715117071,-0.0120631992655325,0.333333333333333,0.75
4,-0.00842418152065957,-0.0103149423759488,0.583333333333333,0.583333333333333
5,0.0248012176441702,-0.0156258190172336,0.25,0.583333333333333
6,0.016109520484458,-0.00391035988667655,0.583333333333333,0.333333333333333
7,-0.00109151434201037,-0.0234073895105049,0.416666666666667,0.583333333333333
8,-0.00432533401250444,-0.0192614203022599,0.5,0.75
9,0.00729844405459786,-0.000910362613218378,0.583333333333333,0.416666666666667
10,0.0260878700594954,-0.00827826611017665,0.333333333333333,0.666666666666667
11,0.0150968396711512,-0.00117410122701032,0.416666666666667,0.5
12,0.0500841832838523,-0.0332867236641789,0.25,0.75
13,0.0233923137378969,-0.0298916229599327,0.416666666666667,0.666666666666667
14,0.0403365697861833,0.00312307939604763,0.583333333333333,0.5
15,0.0301850368216268,-0.00908918082325883,0.416666666666667,0.333333333333333
16,0.0144488463467794,-0.00303419023926895,0.25,0.5
17,-0.0251442345579214,-0.0231055278755844,0.583333333333333,0.916666666666667
18,0.000860333299665186,-0.0151772139600714,0.5,0.833333333333333
19,-0.00962864107100347,-0.016513060246275,0.583333333333333,0.75
20,0.033240745436176,-0.00591302990247262,0.333333333333333,0.583333333333333
21,0.00630914539545492,-0.00622496233536197,0.583333333333333,0.666666666666667
22,0.0346150791187484,-0.0232502709966321,0.416666666666667,0.583333333333333
23,0.021163430770704,-0.0128725426863062,0.166666666666667,0.5
24,0.0166785825636368,-0.00924395331525912,0.333333333333333,0.666666666666667
25,0.0271071131379877,-0.0146857023919862,0.25,0.416666666666667
26,0.0160462852843191,-0.0269582730657252,0.333333333333333,0.666666666666667
27,0.0177748015347355,-0.0505083399436905,0.5,0.5
28,0.00524347801937048,-0.0296594878313935,0.5,0.666666666666667
29,0.0429216577537545,4.62016128288945e-05,0.333333333333333,0.583333333333333
30,-0.00218506224572305,-0.0126489882086479,0.416666666666667,0.5
31,0.0341725846218234,-0.0125771521336929,0.5,0.5
32,0.00248604277804503,-0.0235579989384945,0.5,0.75
33,0.0334659298671884,-0.0193531339365819,0.5,0.583333333333333
34,0.0319817415367445,0.00465046269104163,0.0833333333333333,0.416666666666667
35,0.00394350541775651,-0.0197686545112775,0.583333333333333,0.75
36,-0.0106991859833792,-0.0433622195647359,0.5,0.666666666666667
37,0.0136620831777797,-0.0148853540244318,0.333333333333333,0.75
38,0.0317497434135279,-0.00953032192052421,0.333333333333333,0.75
39,0.0174264735839773,-0.0189455481526373,0.25,0.666666666666667
40,0.0259812383448898,-0.0246564206322521,0.25,0.75
41,-0.00328219754979359,-0.0107103575372421,0.583333333333333,0.5
42,0.0275263247117362,-0.0273345030010278,0.583333333333333,0.75
43,0.01629008984637,-0.00448173844846276,0.416666666666667,0.5
44,0.014661997988588,-0.0349851109451783,0.5,0.666666666666667
45,-0.0103656143063819,-0.0342642124420642,0.5,1
46,0.0167094230667836,-0.0338545978785965,0.416666666666667,0.583333333333333
47,0.00283852612635159,-0.0153606650577375,0.416666666666667,0.5
48,0.0102613848699566,-0.0238140305310864,0.5,0.666666666666667
49,0.0315629510543883,-0.00190569404335616,0.5,0.5
50,0.00888886640401485,0.00731117594533377,0.5,0.416666666666667
51,-0.00756050100939204,-0.00270033123588183,0.416666666666667,0.416666666666667
52,0.0266115161696051,-0.00406271752503613,0.5,0.333333333333333
53,0.00590975542128339,-0.000781008073959089,0.5,0.416666666666667
54,0.00690003513622253,-0.0215585745447365,0.416666666666667,0.833333333333333
