"parameter","n_pairs","bias_a","bias_c","diff_bias","se_diff_paired","cov_a","cov_c","discordant_a1_c0","discordant_a0_c1","mcnemar_p","crps_a","crps_c","width_a","width_c","post_sd_a","post_sd_c"
"beta0_community",100,-0.0868022792221354,-0.0621414930569191,0.0246607861652163,0.00373182019865147,0.87,0.9,0,3,0.248213078989924,0.082129327431987,0.0716753413926044,0.445382146115745,0.459330172948737,0.113092608537921,0.116607605026053
"beta1_community",100,-0.0762011762817466,-0.0735893648033961,0.00261181147835049,0.00265527298046213,0.68,0.76,2,10,0.0433081428107919,0.0586639136326113,0.0565490228382307,0.21020145635741,0.20958449426334,0.0535917625810891,0.0534344699638132
