"species","mean_naive_occ","prop_shrunk","prop_msom_closer","rmse_ssom","rmse_msom"
1,0.250809115752877,0.47,0.44,0.212574695226581,0.268806950782099
2,0.249696471244623,0.45,0.45,0.190042245146493,0.211863148518169
3,0.236775559973694,0.47,0.54,0.209787478783829,0.199203988917623
4,0.24548844407828,0.44,0.42,0.210005477884915,0.256644201572492
5,0.256089184410361,0.45,0.44,0.206299864122917,0.256178939113024
6,0.245661502967072,0.42,0.45,0.228089999057014,0.256817127381588
7,0.244509386812416,0.45,0.45,0.206588348905351,0.239577741180304
8,0.243993589210717,0.54,0.39,0.193853749125144,0.24493186714505
9,0.239512745650103,0.44,0.51,0.225714484279308,0.257842021855287
10,0.233639863668404,0.51,0.45,0.187894865198056,0.235986551493786
11,0.248084753083057,0.42,0.45,0.201587628801501,0.227237334398868
12,0.240858968664143,0.38,0.45,0.18667334015285,0.221542205359697
