"config","parameter","truth","est","lwr","upr","covered"
"a: range_x=100, with field","beta0",-0.5,-0.274175104528176,-0.526272086351527,-0.0187252506733693,1
"a: range_x=100, with field","beta1",0.7,0.347653861365975,0.268506318603792,0.426588441741565,0
"a: range_x=100, NO field","beta0",-0.5,-0.376870562865687,-0.446956697452754,-0.306531923495077,0
"a: range_x=100, NO field","beta1",0.7,0.410757774694357,0.357385855658671,0.464164197060901,0
"b: range_x=20, with field","beta0",-0.5,-0.336263030232322,-0.549237852031149,-0.120089624384296,1
"b: range_x=20, with field","beta1",0.7,0.447392048231888,0.378330046766741,0.516529361450676,0
"c: range_x=5, with field","beta0",-0.5,-0.206692417440221,-0.469571429822483,0.0621300501538399,0
"c: range_x=5, with field","beta1",0.7,0.376188656538275,0.312689883827006,0.439689888683698,0
