"sd_field","n_ok","bias","mc_se","coverage","sigma_hat","bias_if_none_absorbed","frac_of_bound"
0.001,40,-0.0179227641013258,0.00793515325856197,0.975,0.232665787103427,-5.18999865417591e-08,345332.731192618
0.25,40,-0.0222959554284901,0.00795469791667969,0.925,0.338963490529708,-0.00319207090111348,6.98479329538472
0.5,40,-0.015169435871132,0.0101616415091852,0.95,0.530650197089808,-0.0121896620827232,1.2444508935676
0.75,40,-0.0333307444088398,0.00885572499367542,0.975,0.745237132781287,-0.0255233179480106,1.30589386837293
1,40,-0.0373431460312375,0.0117092480043664,0.925,0.942966950598713,-0.0414177412373282,0.901621984097518
