"scenario","n_rep","d_waic_mean","d_waic_se","n_cv","d_ulogcv_mean","d_ulogcv_se","mean_secs","prop_M2_better"
"independent",200,-28.7653903651083,0.848144195684974,200,0.00578238683643912,0.000169864412838811,475.00255,1
"observer",200,-11.8178650819337,0.510667623695718,200,0.00238285273741394,0.000103087871018841,468.17645,1
"shared",200,-30.9688946985348,0.843784121154463,200,0.00623907627120489,0.000169222970081614,353.99975,1
