"parameter","n_rep","truth","mean_est","bias","mc_se","rmse","coverage","cov_se","mean_width","mean_crps"
"alpha0",200,-0.847297860387204,-0.831294474622328,0.016003385764876,0.00470761800957486,0.0683101760605993,0.95,0.0154110350074224,0.25936519967861,0.0386195467690895
"alpha1",200,0.4,0.410810913564528,0.0108109135645283,0.00493370899758932,0.0704331687644789,0.975,0.0110397010829098,0.286540211050569,0.0397414256706516
"alpha2",200,0.7,0.752483907041473,0.052483907041473,0.00962777879494223,0.145604571626998,0.915,0.019719913792915,0.50675260633639,0.0819029107483156
"beta0",200,-0.5,-0.450960017601998,0.0490399823980023,0.0109220461298237,0.161690590679649,0.91,0.0202361063448481,0.59927454041555,0.0926051140086807
"beta1",200,0.3,0.257508718901626,-0.0424912810983738,0.00378290774484215,0.0682149307671889,0.895,0.0216766002869454,0.228853435586326,0.0393121882790335
