"model","log_hier","log_indep","d_log","d_log_se","d_log_lo","d_log_hi","d_brier","d_brier_se","d_brier_lo","d_brier_hi"
"M1",-1.05291626052918,-0.959506654095067,-0.0934096064341131,0.00531963993700972,-0.103817246508855,-0.0831436466179093,0.0254107693964132,0.00205610388197941,0.0213680280052761,0.0294315688743496
"M2",-0.999215283409754,-0.959506654095067,-0.0397086293146867,0.00257374211114739,-0.0446572230576986,-0.0347099323140294,0.00805175343278059,0.000838424246205987,0.00648373098434432,0.00974835846517279
"M3",-0.983089139400535,-0.959506654095067,-0.0235824853054675,0.00234384103609016,-0.0281607211722397,-0.0191203282293815,0.00766052260157054,0.000848957605505215,0.00608035618580808,0.00937999657668282
