"mesh","nodes","beta0","elev","elev2","range","sigma","rho","waic","secs"
"coarse",283,1.68922630272025,-0.539124085375196,-0.980428610972845,3.26761806495116,3.09305694131022,0.919433548804586,9936.58439676537,135
"intermediate",707,1.67524719239618,-0.609907092918419,-0.957725637119122,2.88488157649301,3.23264900883372,0.92731778063379,9907.03148232926,429.389999999999
"fine_1",1724,1.44959266840909,-0.557562093057707,-0.925639310913517,7.9286007847021,14.0628100636064,0.987835053972707,9895.12633290818,3264.03
"fine_2",1724,1.46406517644216,-0.552331388773557,-0.930454808865675,7.80213877390474,14.0195429608411,0.987505662803801,9894.41928337126,2750.25
"fine_3",1724,1.44809874012227,-0.558167819550869,-0.925061168417651,7.8866089966366,13.9534072417543,0.987881747293509,9895.1431719765,3256.3
