"rep","beta1_hat","beta1_sd","mean_unw","mean_inf","fixed_mean","sd_delta_hat"
1,0.64068737595955,0.0508518881957784,0.7,0.630525165037047,0.656802289142774,0.398897304235012
2,0.699890683886632,0.0527178943794012,0.7,0.593554960862025,0.715664750320684,0.420318203989295
3,0.695147192365716,0.0566686812236709,0.7,0.540618950587229,0.686226675912867,0.638573495940459
4,0.744703126206949,0.0560144786370154,0.7,0.625198282129233,0.754500376889265,0.561706027406618
5,0.600544497658974,0.0492904921727722,0.7,0.634349823166355,0.618448408144747,0.311137370950325
6,0.695214569953234,0.0518621279426604,0.7,0.608931598248964,0.723173473245981,0.277364917844906
7,0.644624229754178,0.0512065295503482,0.7,0.64356798994814,0.658802023726653,0.528158188637016
8,0.639836835779,0.0542397130928105,0.7,0.584246227519278,0.651258552773517,0.499791005996664
9,0.708072834690515,0.0507014631873334,0.7,0.634267198768589,0.73074502332452,0.322857929274702
10,0.692109228648972,0.0532559224140211,0.7,0.605272433323741,0.713517583983453,0.450345897384504
11,0.62373485093553,0.0504724920743402,0.7,0.643356709794554,0.636532080605163,0.354698202476654
12,0.618697135358147,0.0546844247899291,0.7,0.646642691049903,0.627092290942827,0.480907622079824
13,0.658905881559574,0.0520276465419584,0.7,0.577917383647243,0.663098120047832,0.438101138950781
14,0.696372678260544,0.0549390522747603,0.7,0.534455410152177,0.710657669213215,0.560696077921148
15,0.730190374034942,0.0537214948433906,0.7,0.536886937050494,0.750434237134313,0.466774584746967
16,0.605840924044287,0.0530597548440677,0.7,0.54654084994582,0.616511827055962,0.528992843058926
17,0.665405960189629,0.0521465310195587,0.7,0.58285432573928,0.682541143299666,0.463858986818344
18,0.732613243465756,0.0574541505461955,0.7,0.618015775521235,0.753345646097945,0.480184473318829
19,0.764197857586743,0.0515432918545921,0.7,0.699825583449805,0.774372469046641,0.162577232347818
20,0.656808892019795,0.0537834740143223,0.7,0.539545657436223,0.662107704371582,0.623090842871325
21,0.671160900486895,0.0537753783258428,0.7,0.537865705532777,0.681893630504068,0.623846838965669
22,0.809165307480223,0.054558123957802,0.7,0.598633968028236,0.824173756340994,0.485260109301894
