"rep","species","truth","dist","beta1_hat","beta1_lo","beta1_hi","beta1_true","cov_marg","cov_joint","width_marg","width_joint","terc"
1,1,-0.335180195820776,0.164819804179224,0.556560849896901,0.433089775089347,0.680237696125562,0.7,1,1,0.745756393767735,0.737738123032381,"near mean"
1,2,-0.990394969147835,0.490394969147835,0.556560849896901,0.433089775089347,0.680237696125562,0.7,1,1,0.840684721830784,0.908657466689767,"middle"
1,3,0.23360356933542,0.73360356933542,0.556560849896901,0.433089775089347,0.680237696125562,0.7,1,1,0.754265216173476,0.766221345847494,"middle"
1,4,-1.19899558835956,0.698995588359565,0.556560849896901,0.433089775089347,0.680237696125562,0.7,1,1,0.795157061414889,0.774177880064671,"middle"
1,5,-0.497656175305828,0.00234382469417205,0.556560849896901,0.433089775089347,0.680237696125562,0.7,1,1,0.722557799265627,0.694213463680981,"near mean"
1,6,0.247683840306543,0.747683840306543,0.556560849896901,0.433089775089347,0.680237696125562,0.7,1,1,0.738692845436067,0.775109034471476,"middle"
1,7,0.689742830422353,1.18974283042235,0.556560849896901,0.433089775089347,0.680237696125562,0.7,1,1,0.767986500981903,0.80769803005087,"far from mean"
1,8,-0.853158679440607,0.353158679440607,0.556560849896901,0.433089775089347,0.680237696125562,0.7,1,1,0.762620509825613,0.747116952240805,"middle"
1,9,-1.23423849743429,0.734238497434293,0.556560849896901,0.433089775089347,0.680237696125562,0.7,1,1,0.78713958993894,0.799713311859187,"middle"
1,10,-0.586708888341636,0.0867088883416359,0.556560849896901,0.433089775089347,0.680237696125562,0.7,0,1,0.769272836508829,0.820320394386677,"near mean"
1,11,-0.128967720596486,0.371032279403514,0.556560849896901,0.433089775089347,0.680237696125562,0.7,1,1,0.7442352646193,0.732873556988669,"middle"
1,12,-1.34572952561729,0.845729525617291,0.556560849896901,0.433089775089347,0.680237696125562,0.7,1,1,0.799784261610236,0.792198918671898,"far from mean"
2,1,-1.09120833305247,0.591208333052468,0.665242367668353,0.534059568027252,0.796658874799531,0.7,1,1,0.830708749981152,0.832359471030777,"middle"
2,2,-1.22536480305832,0.72536480305832,0.665242367668353,0.534059568027252,0.796658874799531,0.7,1,1,0.858255858355973,0.848195061549271,"middle"
2,3,0.894436641940423,1.39443664194042,0.665242367668353,0.534059568027252,0.796658874799531,0.7,1,1,0.81517412325653,0.798543487940672,"far from mean"
2,4,-0.804273141033535,0.304273141033535,0.665242367668353,0.534059568027252,0.796658874799531,0.7,1,1,0.853390823653717,0.849496172094436,"near mean"
2,5,0.279870932120332,0.779870932120332,0.665242367668353,0.534059568027252,0.796658874799531,0.7,1,1,0.795894937250808,0.782515118248292,"far from mean"
2,6,0.845502366327363,1.34550236632736,0.665242367668353,0.534059568027252,0.796658874799531,0.7,1,1,0.832464308028096,0.827858875721244,"far from mean"
2,7,0.101877257002659,0.601877257002659,0.665242367668353,0.534059568027252,0.796658874799531,0.7,1,1,0.812997495408241,0.743027299868948,"middle"
2,8,-0.60304894598603,0.10304894598603,0.665242367668353,0.534059568027252,0.796658874799531,0.7,1,1,0.806661474312122,0.886205513148852,"near mean"
2,9,-1.37869171797177,0.878691717971768,0.665242367668353,0.534059568027252,0.796658874799531,0.7,1,1,0.87038343278079,0.816772639250395,"far from mean"
2,10,-2.39225506271459,1.89225506271459,0.665242367668353,0.534059568027252,0.796658874799531,0.7,0,0,0.924162251791671,0.98941910268682,"far from mean"
2,11,-0.609633560600091,0.109633560600091,0.665242367668353,0.534059568027252,0.796658874799531,0.7,1,1,0.764012454417502,0.771336626432473,"near mean"
2,12,-0.0172116329739768,0.482788367026023,0.665242367668353,0.534059568027252,0.796658874799531,0.7,1,1,0.782713251031737,0.759669330683909,"middle"
3,1,-1.34272889960087,0.842728899600871,0.572488546032465,0.438158748644646,0.707134487740769,0.7,1,1,0.885728147698039,0.842221304633846,"far from mean"
3,2,0.52782648700528,1.02782648700528,0.572488546032465,0.438158748644646,0.707134487740769,0.7,1,1,0.803738271735242,0.824954467342662,"far from mean"
3,3,-1.35820472994773,0.858204729947734,0.572488546032465,0.438158748644646,0.707134487740769,0.7,1,1,0.860624045357161,0.858008127173685,"far from mean"
3,4,-1.04407277422655,0.544072774226554,0.572488546032465,0.438158748644646,0.707134487740769,0.7,1,1,0.851087594584294,0.859626815768282,"middle"
3,5,-1.11233028735127,0.61233028735127,0.572488546032465,0.438158748644646,0.707134487740769,0.7,1,1,0.802571455125855,0.792426104500009,"middle"
