"strategy","parameter","mean","sd"
"gaussian","alpha0",-0.839659053708153,0.0324171326543328
"gaussian","alpha1",0.356245492159667,0.0355788984858833
"gaussian","alpha2",0.682155434116765,0.063472398122797
"simplified.laplace","alpha0",-0.84066361051545,0.0319181083552839
"simplified.laplace","alpha1",0.356382292336686,0.0359682749757135
"simplified.laplace","alpha2",0.687432264379351,0.0630397971568093
"laplace","alpha0",-0.839280203148297,0.0332239212320756
"laplace","alpha1",0.356088487974907,0.0351520063317007
"laplace","alpha2",0.686650584318515,0.0633615917708101
