"spec","range","range_lo","range_hi","sigma","rho","beta0","beta0_sd","elev","elev2","det_int","max_d_species","max_d_beta0_sd"
"range<1km",2.83981088862255,1.88172260514857,3.73551741019581,0.575182773779095,0.811595679585413,-0.50314955838755,0.0923481026899971,-0.0507463427206031,-0.243305990701149,0.0206525880385241,0.0102750107561966,0.0951430186395685
"range<2km",3.21208528910458,2.35078348014169,4.54058709364352,0.549013341802233,0.776574787372945,-0.503832835721224,0.0936917136276831,-0.0524429519775635,-0.245925796293713,0.0158016987655736,0.0102661434186135,0.102143924982476
"baseline",3.28256628087083,2.32203100011043,4.47057982410734,0.558051148703724,0.771738207010048,-0.493863750963542,0.0975984108638148,-0.0520530260397977,-0.250165727230062,0.0156300759104414,0,0
"range<10km",3.30751979801553,2.32829907131889,4.53104259546438,0.565534562739812,0.776444575824575,-0.497469444914651,0.0953572364177102,-0.0514728728865663,-0.247290504011414,0.0157997194823589,0.00390629860685476,0.0369441870948148
"range<20km",3.57053669274588,2.686883939889,4.75791217735604,0.577876154901081,0.757843993213997,-0.48778599470622,0.0997076105905171,-0.05150858516923,-0.252362375084227,0.016038950870218,0.00812265736208895,0.0622731067394415
"sigma>0.5",3.22677997570056,2.33373588472126,4.40019567610354,0.544974745928392,0.772698472718336,-0.503003019588527,0.0933887574235451,-0.0517979778429294,-0.245112877704849,0.015707543644315,0.0105341553251366,0.0936415720716825
"sigma>2",3.17677411875962,2.4036814613465,4.08234695815135,0.49423727721397,0.634966469821147,-0.489136744039924,0.101317640030713,-0.0531220790025881,-0.254468124067845,0.0208498750429566,0.00671448110759387,0.0484332365842906
