"x","y","mean","sd","snr"
279.999999999999,4868.4,0.0163924742051567,0.249000960525073,0.0658329757868788
279.999999999999,4868.5,-0.0112259415458233,0.236612954985629,0.0474443233528995
279.999999999999,4868.7,-0.0775189776471555,0.234712630428253,0.330271862684661
280.000981540754,4868.87541302063,-0.134806722970699,0.267773142641351,0.503436310456483
279.999999999999,4869,-0.166146594241684,0.264779622860246,0.627490108365999
279.999999999999,4869.1,-0.181791805251776,0.246183140274897,0.738441328877277
279.999999999998,4869.3,-0.21308222727127,0.240884084002588,0.884584085966348
279.999999999999,4869.4,-0.228727438281191,0.254845552093942,0.897513950711907
279.999999999999,4869.6,-0.259928555711005,0.243913820696203,1.06565734967002
279.999999999999,4869.7,-0.271453069892592,0.232324149716682,1.16842381742762
279.999999999999,4869.9,-0.293283967240226,0.235395277613225,1.24592120204772
279.999999999999,4870,-0.301828419445363,0.230230236955411,1.31098514007879
279.999999999999,4870.2,-0.308593394233142,0.242695884342921,1.2715229805756
279.999999999999,4870.3,-0.308037112823972,0.262477056557154,1.17357729039032
279.999999999998,4870.5,-0.322043802204826,0.279728548990709,1.15127255822402
279.499999999999,4870.5,-0.221085645403546,0.252971024963684,0.873956396529144
279.499999999999,4870.3,-0.196395954237969,0.233816625354018,0.8399571841421
279.499999999999,4870.2,-0.170540923114876,0.239858872876239,0.711005271849462
279.499999999999,4870,-0.135586676219718,0.237562136993282,0.570741945394912
279.499999999998,4869.9,-0.106742570768235,0.231556417079849,0.460978676878674
279.499999999999,4869.7,-0.0631381923289336,0.235382867755822,0.268236141954184
279.499999999998,4869.6,-0.0495571903477312,0.244901439273409,0.202355651705278
279.499999999999,4869.4,-0.0123249949277298,0.243239791471174,0.0506701426324416
279.499999999999,4869.3,0.0102342153382567,0.24298075805317,0.0421194477301662
279.499999999999,4869.1,0.0441178436613837,0.251244172939976,0.175597480113195
279.499999999999,4869,0.0458603093126046,0.238870295532394,0.191988330781737
279.499999999999,4868.8,0.045337453101765,0.241663437483416,0.187605761028192
279.499999999998,4868.7,0.0403347834034804,0.252148844893678,0.159964180761915
279.499999999999,4868.5,0.00757056205725354,0.258826508464472,0.0292495621958008
279.499999999999,4868.4,0.00277537560832409,0.237802709412164,0.0116709166820878
279.499999999999,4868.2,-0.00605827829684289,0.231484683429413,0.0261714002286905
279.499999999999,4868.1,0.00352764773425816,0.226048757087919,0.0156056940091298
279.499999999999,4867.9,0.0386628927689376,0.233936216987118,0.16527108656744
279.499999999999,4867.8,0.0610890760647219,0.236791262814089,0.257987036087073
279.499999999999,4867.6,0.119875974787825,0.222000633018698,0.539980328694505
