"section","claim","stated","actual","status"
"Section 3.3","largest species-intercept change, logit scale",0.0025,0.002466,"ok"
"Section 3.3","correlation of MCMC with conditional detection",0.998,0.997745,"ok"
"Section 3.3","mean excess of MCMC over conditional detection",0.012,0.01157,"ok"
"Section 3.3","MCMC ratio range, minimum",1.11,1.11176,"ok"
"Section 3.3","MCMC ratio range, maximum",3.52,3.515622,"ok"
"Limitations","species AR(1) intervals that include zero",12,12,"ok"
"Appendix S3.8","D at p = 0.15, sigma = 1",1.1,1.104,"ok"
"Appendix S3.8","estimate of p there",0.282,0.282,"ok"
"Appendix S3.8","true ratio there",2.38,2.378,"ok"
"Appendix S3.8","implied ratio there",1.59,1.594,"ok"
"Appendix S3.8","scenario A: largest |p_full - p_ztb|",0,0,"ok"
"Appendix S3.8","scenario B: largest |p_full - p_ztb|",0,0,"ok"
"Appendix S3.8","scenario C: largest |p_full - p_ztb|",0.019,0.019,"ok"
"Section 4.2","bias against the unweighted mean",0.002,0.001968,"ok"
"Section 4.2","its standard error",0.004,0.004103,"ok"
"Section 4.2","gap between the two targets",0.095,0.094652,"ok"
"Section 4.2","regression of displacement on the gap",0.14,0.143234,"ok"
"Section 4.2","its standard error",0.1,0.100784,"ok"
"Section 4.2","slope bias with the occupancy likelihood, no field",-0.054,-0.054104,"ok"
"Section 4.2","its coverage",0.84,0.84,"ok"
"Limitations","far-tercile coverage, marginal intervals",0.865,0.865,"ok"
"Limitations","far-tercile coverage, joint intervals",0.85,0.85,"ok"
"Section 5.8","smallest M3/M1 factor, five least detectable",2.09,2.23657,"ok"
"Section 5.8","largest M3/M1 factor, five least detectable",2.33,2.316312,"ok"
"Section 5.6","field posterior mean, minimum",-0.45,-0.450704,"ok"
"Section 5.6","field posterior mean, maximum",0.64,0.642664,"ok"
"Section 5.6","median posterior SD of the field",0.25,0.250213,"ok"
"Section 5.6","median |mean| / SD",0.66,0.653882,"ok"
