"treatment","n_used","alpha_biotic","sd","lwr","upr","waic","shift_in_sd"
"missing -> 0",8770,0.41552215276887,0.0553529500081787,0.302212221667855,0.523033538123634,9885.89299131938,0
"incomplete visits dropped",8770,0.416298171059806,0.0552577708595672,0.310447271072796,0.524651262051597,9885.84270878935,0.0140194567917547
"missing -> 0 + indicator",8770,0.416382022950257,0.056153841672866,0.309571159244576,0.526649424317183,9886.36029502542,0.0155343153573559
