"block","max_rhat","min_ess"
"beta.comm.samples",1.03933193568462,1427
"alpha.comm.samples",1.00752799659886,2834
"beta.samples",3.22549013000907,13
"alpha.samples",3.40468414840008,14
"theta.samples",5.81517282710957,12
