"refit","precision","one_over_sqrt_mean","sigma_gamma","sg_lwr","sg_upr","beta0","range","field_sd","rho","waic"
1,0.404381927129634,1.57254879875729,1.62880667705211,1.19970465352084,2.18789250210907,-0.497313005662518,3.26627293082927,0.560359602192467,0.774104353283108,77923.4225079217
2,0.404050293373267,1.57319401954688,1.62916560816071,1.20264465635521,2.1904102969794,-0.497442131497605,3.26204530612069,0.560705813262603,0.774290599513659,77923.4004594736
3,0.424778992561303,1.5343289685314,1.59900741975793,1.12112764389419,2.1275668549292,-0.493683002570386,3.29364481980295,0.558408345716997,0.772483274898109,77922.8479198762
