"prior","sigma_gamma","sg_lwr","sg_upr","beta0","elev","range","field_sd","rho","waic"
"P(sigma>1)=0.01",1.17098295680347,0.412177723043433,1.84036722069341,-0.493850725784487,-0.052062845071629,3.28217952928648,0.558079944400551,0.772574756346064,77922.8672051903
"P(sigma>2)=0.01",1.85636061722671,1.38168782333968,2.70049721211778,-0.494168613025866,-0.0524399825833476,3.24195333205935,0.559058040488877,0.766734377308035,77922.6972521535
"P(sigma>3)=0.01",1.88352818405266,1.38035349813489,2.65602477940777,-0.500863998635654,-0.0526600915390377,3.31612566106187,0.554394336737258,0.784808713247668,77923.4435348215
"P(sigma>5)=0.01",1.97868963825799,1.34086044275284,2.82991922748273,-0.498004836617598,-0.0513986429455365,3.25936455620386,0.561638816400697,0.772241337612283,77923.7379147841
